Year,Winners,Runners-up,Third Qualifiers
1892-93,Small Heath,Sheffield United,Darwen
1893-94,Liverpool,Birmingham City,
1894-95,Bury,Notts County,
1895-96,Liverpool ,Manchester City,
1896-97,Notts County,Newton Heath,
1897-98,Burnley,Newcastle United,
1898-99,Manchester City,Glossop North End,
1899-1900,Sheffield Wednesday,Bolton Wanderers,
1900-01,Grimsby Town,Small Heath,
1901-02,West Bromwich Albion,Middlesbrough,
1902-03,Manchester City ,Small Heath,
1903-04,Preston North End,Woolwich Arsenal,
1904-05,Liverpool ,Bolton Wanderers,
1905-06,Bristol City,Manchester United,
1906-07,Nottingham Forest,Chelsea,
1907-08,Bradford City,Leicester City,
1908-09,Bolton Wanderers,Tottenham Hotspur,
1909-10,Manchester City ,Oldham Athletic,
1910-11,West Bromwich Albion ,Bolton Wanderers,
1911-12,Derby County,Chelsea,
1912-13,Preston North End ,Burnley,
1913-14,Notts County ,Bradford Park Avenue,
1914-15,Derby County ,Preston North End,Arsenal
1919-20,Tottenham Hotspur,Huddersfield Town,
1920-21,Birmingham City ,Cardiff City,
1921-22,Nottingham Forest ,Stoke City,
1922-23,Notts County ,West Ham United,
1923-24,Leeds United,Bury,
1924-25,Leicester City,Manchester United,
1925-26,Sheffield Wednesday ,Derby County,
1926-27,Middlesbrough,Portsmouth,
1927-28,Manchester City ,Leeds United,
1928-29,Middlesbrough ,Grimsby Town,
1929-30,Blackpool,Chelsea,
1930-31,Everton,West Bromwich Albion,
1931-32,Wolverhampton Wanderers,Leeds United,
1932-33,Stoke City,Tottenham Hotspur,
1933-34,Grimsby Town ,Preston North End,
1934-35,Brentford,Bolton Wanderers,
1935-36,Manchester United,Charlton Athletic,
1936-37,Leicester City ,Blackpool,
1937-38,Aston Villa,Manchester United,
1938-39,Blackburn Rovers,Sheffield United,
1946-47,Manchester City ,Burnley,
1947-48,Birmingham City ,Newcastle United,
1948-49,Fulham,West Bromwich Albion,
1949-50,Tottenham Hotspur ,Sheffield Wednesday,
1950-51,Preston North End ,Manchester City,
1951-52,Sheffield Wednesday ,Cardiff City,
1952-53,Sheffield United,Huddersfield Town,
1953-54,Leicester City ,Everton,
1954-55,Birmingham City ,Luton Town,
1955-56,Sheffield Wednesday ,Leeds United,
1956-57,Leicester City ,Nottingham Forest,
1957-58,West Ham United,Blackburn Rovers,
1958-59,Sheffield Wednesday ,Fulham,
1959-60,Aston Villa ,Cardiff City,
1960-61,Ipswich Town,Sheffield United,
1961-62,Liverpool ,Leyton Orient,
1962-63,Stoke City ,Chelsea,
1963-64,Leeds United ,Sunderland,
1964-65,Newcastle United,Northampton Town,
1965-66,Manchester City ,Southampton,
1966-67,Coventry City,Wolverhampton Wanderers,
1967-68,Ipswich Town ,Queens Park Rangers,
1968-69,Derby County ,Crystal Palace,
1969-70,Huddersfield Town,Blackpool,
1970-71,Leicester City ,Sheffield United,
1971-72,Norwich City,Birmingham City,
1972-73,Burnley ,Queens Park Rangers,
1973-74,Middlesbrough ,Luton Town,Carlisle United
1974-75,Manchester United ,Aston Villa,Norwich City
1975-76,Sunderland,Bristol City,West Bromwich Albion
1976-77,Wolverhampton Wanderers ,Chelsea,Nottingham Forest
1977-78,Bolton Wanderers ,Southampton,Tottenham Hotspur
1978-79,Crystal Palace,Brighton & Hove Albion,Stoke City
1979-80,Leicester City ,Sunderland,Birmingham City
1980-81,West Ham United ,Notts County,Swansea City
1981-82,Luton Town,Watford,Norwich City
1982-83,Queens Park Rangers,Wolverhampton Wanderers,Leicester City
1983-84,Chelsea,Sheffield Wednesday,Newcastle United
1984-85,Oxford United,Birmingham City,Manchester City
1985-86,Norwich City ,Charlton Athletic,Wimbledon
1986-87,Derby County ,Portsmouth,
1987-88,Millwall,Aston Villa,Middlesbrough
1988-89,Chelsea ,Manchester City,Crystal Palace
1989-90,Leeds United ,Sheffield United,Sunderland
1990-91,Oldham Athletic,West Ham United,Sheffield Wednesday
1991-92,Ipswich Town ,Middlesbrough,Blackburn Rovers
1992-93,Newcastle United ,West Ham United,Swindon Town
1993-94,Crystal Palace ,Nottingham Forest,Leicester City
1994-95,Middlesbrough ,Reading*,Bolton Wanderers
1995-96,Sunderland ,Derby County,Leicester City
1996-97,Bolton Wanderers ,Barnsley,Crystal Palace
1997-98,Nottingham Forest ,Middlesbrough,Charlton Athletic
1998-99,Sunderland ,Bradford City,Watford
1999-2000,Charlton Athletic,Manchester City,Ipswich Town
2000-01,Fulham ,Blackburn Rovers,Bolton Wanderers
2001-02,Manchester City ,West Bromwich Albion,Birmingham City
2002-03,Portsmouth,Leicester City,Wolverhampton Wanderers
2003-04,Norwich City ,West Bromwich Albion,Crystal Palace
2004-05,Sunderland ,Wigan Athletic,West Ham United
2005-06,Reading,Sheffield United,Watford
2006-07,Sunderland ,Birmingham City,Derby County
2007-08,West Bromwich Albion ,Stoke City,Hull City
2008-09,Wolverhampton Wanderers ,Birmingham City,Burnley
2009-10,Newcastle United ,West Bromwich Albion,Blackpool
2010-11,Queens Park Rangers ,Norwich City,Swansea City
2011-12,Reading ,Southampton,West Ham United
2012-13,Cardiff City,Hull City,Crystal Palace
2013-14,Leicester City ,Burnley,Queens Park Rangers
2014-15,Bournemouth,Watford,Norwich City
2015-16,Burnley ,Middlesbrough,Hull City
2016-17,Newcastle United ,Brighton & Hove Albion,Huddersfield Town
2017-18,Wolverhampton Wanderers ,Cardiff City,Fulham
2018-19,Norwich City ,Sheffield United,Aston Villa
