Year,Winner,Score,Runner-up
1961,Aston Villa,3-2,Rotherham United
1962,Norwich City,4-0,Rochdale
1963,Birmingham City,3-1,Aston Villa
1964,Leicester City,4-3,Stoke City
1965,Chelsea,3-2,Leicester City
1966,West Bromwich Albion,5-3,West Ham United
1967,Queens Park Rangers,3-2,West Bromwich Albion
1968,Leeds United,1-0,Arsenal
1969,Swindon Town,3-1,Arsenal
1970,Manchester City,2-1,West Bromwich Albion
1971,Tottenham Hotspur,2-0,Aston Villa
1972,Stoke City,2-1,Chelsea
1973,Tottenham Hotspur,1-0,Norwich City
1974,Wolverhampton Wanderers,2-1,Manchester City
1975,Aston Villa,1-0,Norwich City
1976,Manchester City,2-1,Newcastle United
1977,Aston Villa,3-2,Everton
1978,Nottingham Forest,1-0,Liverpool
1979,Nottingham Forest,3-2,Southampton
1980,Wolverhampton Wanderers,1-0,Nottingham Forest
1981,Liverpool,2-1,West Ham United
1982,Liverpool,3-1,Tottenham Hotspur
1983,Liverpool,2-1,Manchester United
1984,Liverpool,1-0,Everton
1985,Norwich City,1-0,Sunderland
1986,Oxford United,3-0,Queens Park Rangers
1987,Arsenal,2-1,Liverpool
1988,Luton Town,3-2,Arsenal
1989,Nottingham Forest,3-1,Luton Town
1990,Nottingham Forest,1-0,Oldham Athletic
1991,Sheffield Wednesday,1-0,Manchester United
1992,Manchester United,1-0,Nottingham Forest
1993,Arsenal,2-1,Sheffield Wednesday
1994,Aston Villa,3-1,Manchester United
1995,Liverpool,2-1,Bolton Wanderers
1996,Aston Villa,3-0,Leeds United
1997,Leicester City,1-0,Middlesbrough
1998,Chelsea,2-0,Middlesbrough
1999,Tottenham Hotspur,1-0,Leicester City
2000,Leicester City,2-1,Tranmere Rovers
2001,Liverpool,1-1,Birmingham City
2002,Blackburn Rovers,2-1,Tottenham Hotspur
2003,Liverpool,2-0,Manchester United
2004,Middlesbrough,2-1,Bolton Wanderers
2005,Chelsea,3-2,Liverpool
2006,Manchester United,4-0,Wigan Athletic
2007,Chelsea,2-1,Arsenal
2008,Tottenham Hotspur,2-1,Chelsea
2009,Manchester United,0-0,Tottenham Hotspur
2010,Manchester United,2-1,Aston Villa
2011,Birmingham City,2-1,Arsenal
2012,Liverpool,2-2,Cardiff City
2013,Swansea City,5-0,Bradford City
2014,Manchester City,3-1,Sunderland
2015,Chelsea,2-0,Tottenham Hotspur
2016,Manchester City,1-1,Liverpool
2017,Manchester United,3-2,Southampton
2018,Manchester City,3-0,Arsenal
2019,Manchester City,0-0,Chelsea
